Number,Season2,Rank,Tag,Most Recent List,First List,Appearances,Images
07,April 14th 2014,4,KJH,Summer 2024,Februrary 22nd 2013,24,
07,April 14th 2014,5,Moose,January 13th 2015,November 15th 2010,9,
07,April 14th 2014,6,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
07,April 14th 2014,7,Juggleguy,Spring 2018,November 15th 2010,17,
07,April 14th 2014,8,Shady,Spring 2016,November 15th 2010,12,
07,April 14th 2014,9,Soul,April 30th 2015,April 14th 2014,4,
07,April 14th 2014,10,Blake,Winter 2015,April 22nd 2012,9,
07,April 14th 2014,HM,Dre,January 13th 2015,Februrary 22nd 2013,5,
07,April 14th 2014,HM,Ginger,Winter 2024,April 14th 2014,21,
07,April 14th 2014,HM,Hellsing,Winter 2015,April 14th 2014,6,
07,April 14th 2014,HM,Shibby,April 14th 2014,April 14th 2014,1,
07,April 14th 2014,HM,Skigh,April 30th 2015,April 14th 2014,3,
07,April 14th 2014,IM,Anther,Summer 2024,July 25th 2011,20,
07,April 14th 2014,IM,Bigy,Winter 2015,November 15th 2010,12,
07,April 14th 2014,IM,Lain,Summer 2017,November 15th 2010,9,
07,April 14th 2014,IM,Mikey Lenetia,September 3rd 2014,July 25th 2011,7,
07,April 14th 2014,IM,Velynn,January 13th 2015,November 15th 2010,9,
08,September 3rd 2014,1,Duck,Winter-Spring 2019,November 15th 2010,21,08.jpg
08,September 3rd 2014,2,Kalamazhu,April 30th 2015,July 25th 2011,9,08.jpg
08,September 3rd 2014,3,KJH,Summer 2024,Februrary 22nd 2013,24,08.jpg
08,September 3rd 2014,4,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,08.jpg
08,September 3rd 2014,5,Juggleguy,Spring 2018,November 15th 2010,17,08.jpg
08,September 3rd 2014,6,Blake,Winter 2015,April 22nd 2012,9,08.jpg
08,September 3rd 2014,7,RyeJew,January 13th 2015,November 15th 2011,5,08.jpg
08,September 3rd 2014,8,Hellsing,Winter 2015,April 14th 2014,6,08.jpg
08,September 3rd 2014,9,Ginger,Winter 2024,April 14th 2014,21,08.jpg
08,September 3rd 2014,10,Shibbypod,September 3rd 2014,September 3rd 2014,1,08.jpg
08,September 3rd 2014,HM,Dre,January 13th 2015,Februrary 22nd 2013,5,08.jpg
08,September 3rd 2014,HM,NJA,April 30th 2015,September 3rd 2014,3,08.jpg
08,September 3rd 2014,HM,Severest,September 3rd 2014,September 3rd 2014,1,08.jpg
08,September 3rd 2014,HM,Skigh,April 30th 2015,April 14th 2014,3,08.jpg
08,September 3rd 2014,HM,Zbet,April 30th 2015,September 3rd 2014,2,08.jpg
08,September 3rd 2014,IM,Anther,Summer 2024,July 25th 2011,20,08.jpg
08,September 3rd 2014,IM,Bigy,Winter 2015,November 15th 2010,12,08.jpg
08,September 3rd 2014,IM,Lain,Summer 2017,November 15th 2010,9,08.jpg
08,September 3rd 2014,IM,Mikey Lenetia,September 3rd 2014,July 25th 2011,7,08.jpg
08,September 3rd 2014,IM,Moose,January 13th 2015,November 15th 2010,9,08.jpg
08,September 3rd 2014,IM,Shady,Spring 2016,November 15th 2010,12,08.jpg
08,September 3rd 2014,IM,Soul,April 30th 2015,April 14th 2014,4,08.jpg
08,September 3rd 2014,IM,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,08.jpg
08,September 3rd 2014,IM,Velynn,January 13th 2015,November 15th 2010,9,08.jpg
09,January 13th 2015,1,Duck,Winter-Spring 2019,November 15th 2010,21,
09,January 13th 2015,2,Kalamazhu,April 30th 2015,July 25th 2011,9,
09,January 13th 2015,3,Moose,January 13th 2015,November 15th 2010,9,
09,January 13th 2015,4,KJH,Summer 2024,Februrary 22nd 2013,24,
09,January 13th 2015,5,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
09,January 13th 2015,6,Juggleguy,Spring 2018,November 15th 2010,17,
09,January 13th 2015,7,Ginger,Winter 2024,April 14th 2014,21,
09,January 13th 2015,8,Hellsing,Winter 2015,April 14th 2014,6,
09,January 13th 2015,9,Dre,January 13th 2015,Februrary 22nd 2013,5,
09,January 13th 2015,10,Sawyer (TM),Summer 2017,January 13th 2015,8,
09,January 13th 2015,HM,Lain,Summer 2017,November 15th 2010,9,
09,January 13th 2015,HM,NJA,April 30th 2015,September 3rd 2014,3,
09,January 13th 2015,HM,Roki,January 13th 2015,January 13th 2015,1,
09,January 13th 2015,HM,Toadster,January 13th 2015,November 15th 2010,6,
09,January 13th 2015,HM,Tran,Winter 2015,January 13th 2015,2,
09,January 13th 2015,IM,Anther,Summer 2024,July 25th 2011,20,
09,January 13th 2015,IM,Bigy,Winter 2015,November 15th 2010,12,
09,January 13th 2015,IM,Blake,Winter 2015,April 22nd 2012,9,
09,January 13th 2015,IM,RyeJew,January 13th 2015,November 15th 2011,5,
09,January 13th 2015,IM,Shandy,January 13th 2015,January 13th 2015,1,
09,January 13th 2015,IM,Sheaden,January 13th 2015,January 13th 2015,1,
09,January 13th 2015,IM,Soul,April 30th 2015,April 14th 2014,4,
09,January 13th 2015,IM,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,
09,January 13th 2015,IM,Velynn,January 13th 2015,November 15th 2010,9,
10,April 30th 2015,1,Duck,Winter-Spring 2019,November 15th 2010,21,10.jpg
10,April 30th 2015,2,KJH,Summer 2024,Februrary 22nd 2013,24,10.jpg
10,April 30th 2015,3,Kalamazhu,April 30th 2015,July 25th 2011,9,10.jpg
10,April 30th 2015,4,Juggleguy,Spring 2018,November 15th 2010,17,10.jpg
10,April 30th 2015,5,Ginger,Winter 2024,April 14th 2014,21,10.jpg
10,April 30th 2015,6,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,10.jpg
10,April 30th 2015,7,Sawyer (TM),Summer 2017,January 13th 2015,8,10.jpg
10,April 30th 2015,8,Blake,Winter 2015,April 22nd 2012,9,10.jpg
10,April 30th 2015,9,Hellsing,Winter 2015,April 14th 2014,6,10.jpg
10,April 30th 2015,10,Soul,April 30th 2015,April 14th 2014,4,10.jpg
10,April 30th 2015,HM,JU4N,April 30th 2015,April 30th 2015,1,10.jpg
10,April 30th 2015,HM,NJA,April 30th 2015,September 3rd 2014,3,10.jpg
10,April 30th 2015,HM,Paper,Spring 2016,April 30th 2015,4,10.jpg
10,April 30th 2015,HM,Skigh,April 30th 2015,April 14th 2014,3,10.jpg
10,April 30th 2015,HM,Zbet,April 30th 2015,September 3rd 2014,2,10.jpg
10,April 30th 2015,IM,Anther,Summer 2024,July 25th 2011,20,10.jpg
10,April 30th 2015,IM,Bigy,Winter 2015,November 15th 2010,12,10.jpg
10,April 30th 2015,IM,Shady,Spring 2016,November 15th 2010,12,10.jpg
10,April 30th 2015,IM,Shaeden,Spring 2016,November 15th 2010,10,10.jpg
10,April 30th 2015,IM,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,10.jpg
11,Fall 2015,1,Duck,Winter-Spring 2019,November 15th 2010,21,
11,Fall 2015,2,KJH,Summer 2024,Februrary 22nd 2013,24,
11,Fall 2015,3,Ginger,Winter 2024,April 14th 2014,21,
11,Fall 2015,4,Juggleguy,Spring 2018,November 15th 2010,17,
11,Fall 2015,5,Sawyer (TM),Summer 2017,January 13th 2015,8,
11,Fall 2015,6,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
11,Fall 2015,7,Paper,Spring 2016,April 30th 2015,4,
11,Fall 2015,8,MB-Smash,Summer-Fall 2019,Fall 2015,5,
11,Fall 2015,9,Hellsing,Winter 2015,April 14th 2014,6,
11,Fall 2015,10,Russell,Winter-Spring 2019,Fall 2015,6,
11,Fall 2015,HM,Butch G,Fall 2015,January 8th 2014,2,
11,Fall 2015,HM,Miles (LETS GO MILES / Criphood),July-December 2016,Fall 2015,4,
11,Fall 2015,HM,The Oak,Fall 2015,Fall 2015,1,
11,Fall 2015,HM,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,
11,Fall 2015,HM,Yoyo,Spring 2018,Fall 2015,8,
11,Fall 2015,IM,Anther,Summer 2024,July 25th 2011,20,
11,Fall 2015,IM,Bigy,Winter 2015,November 15th 2010,12,
11,Fall 2015,IM,Blake,Winter 2015,April 22nd 2012,9,
11,Fall 2015,IM,Shady,Spring 2016,November 15th 2010,12,
11,Fall 2015,IM,Shaeden,Spring 2016,November 15th 2010,10,
11,Fall 2015,IM,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,
12,Winter 2015,1,Duck,Winter-Spring 2019,November 15th 2010,21,12.png
12,Winter 2015,2,KJH,Summer 2024,Februrary 22nd 2013,24,12.png
12,Winter 2015,3,Prince Abu,Spring 2016,July 25th 2011,3,12.png
12,Winter 2015,4,Ginger,Winter 2024,April 14th 2014,21,12.png
12,Winter 2015,5,Shaeden,Spring 2016,November 15th 2010,10,12.png
12,Winter 2015,6,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,12.png
12,Winter 2015,7,Anther,Summer 2024,July 25th 2011,20,12.png
12,Winter 2015,8,Juggleguy,Spring 2018,November 15th 2010,17,12.png
12,Winter 2015,9,Sawyer (TM),Summer 2017,January 13th 2015,8,12.png
12,Winter 2015,10,Paper,Spring 2016,April 30th 2015,4,12.png
12,Winter 2015,HM,MB-Smash,Summer-Fall 2019,Fall 2015,5,12.png
12,Winter 2015,HM,Tran,Winter 2015,January 13th 2015,2,12.png
12,Winter 2015,HM,Miles (LETS GO MILES / Criphood),July-December 2016,Fall 2015,4,12.png
12,Winter 2015,HM,Hellsing,Winter 2015,April 14th 2014,6,12.png
12,Winter 2015,HM,Yoyo,Spring 2018,Fall 2015,8,12.png
12,Winter 2015,IM,Bigy,Winter 2015,November 15th 2010,12,12.png
12,Winter 2015,IM,Blake,Winter 2015,April 22nd 2012,9,12.png
12,Winter 2015,IM,Shady,Spring 2016,November 15th 2010,12,12.png
12,Winter 2015,IM,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,12.png
13,Spring 2016,1,Duck,Winter-Spring 2019,November 15th 2010,21,13.jpg
13,Spring 2016,2,KJH,Summer 2024,Februrary 22nd 2013,24,13.jpg
13,Spring 2016,3,Prince Abu,Spring 2016,July 25th 2011,3,13.jpg
13,Spring 2016,4,Ginger,Winter 2024,April 14th 2014,21,13.jpg
13,Spring 2016,5,Shaeden,Spring 2016,November 15th 2010,10,13.jpg
13,Spring 2016,6,Anther,Summer 2024,July 25th 2011,20,13.jpg
13,Spring 2016,7,Yoyo,Spring 2018,Fall 2015,8,13.jpg
13,Spring 2016,8,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,13.jpg
13,Spring 2016,9,Sawyer (TM),Summer 2017,January 13th 2015,8,13.jpg
13,Spring 2016,10,Shady,Spring 2016,November 15th 2010,12,13.jpg
13,Spring 2016,HM,MB-Smash,Summer-Fall 2019,Fall 2015,5,13.jpg
13,Spring 2016,HM,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,13.jpg
13,Spring 2016,HM,Miles (LETS GO MILES / Criphood),July-December 2016,Fall 2015,4,13.jpg
13,Spring 2016,HM,Juggleguy,Spring 2018,November 15th 2010,17,13.jpg
13,Spring 2016,HM,Paper,Spring 2016,April 30th 2015,4,13.jpg
14,July-December 2016,1,Duck,Winter-Spring 2019,November 15th 2010,21,14.jpg
14,July-December 2016,2,KJH,Summer 2024,Februrary 22nd 2013,24,14.jpg
14,July-December 2016,3,Ginger,Winter 2024,April 14th 2014,21,14.jpg
14,July-December 2016,4,Yoyo,Spring 2018,Fall 2015,8,14.jpg
14,July-December 2016,5,Anther,Summer 2024,July 25th 2011,20,14.jpg
14,July-December 2016,6,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,14.jpg
14,July-December 2016,7,Morsecode762,Summer 2024,July-December 2016,15,14.jpg
14,July-December 2016,8,Sawyer (TM),Summer 2017,January 13th 2015,8,14.jpg
14,July-December 2016,9,Heartstrings,Winter 2020,July-December 2016,9,14.jpg
14,July-December 2016,10,Juggleguy,Spring 2018,November 15th 2010,17,14.jpg
14,July-December 2016,11,Miles (LETS GO MILES / Criphood),July-December 2016,Fall 2015,4,14.jpg
14,July-December 2016,12,Mingee,July-December 2016,July-December 2016,1,14.jpg
14,July-December 2016,13,Jagerbombsoldier (Liam_Butler),Spring 2018,July-December 2016,2,14.jpg
15,Winter-Spring 2017,1,Duck,Winter-Spring 2019,November 15th 2010,21,15.jpg
15,Winter-Spring 2017,2,KJH,Summer 2024,Februrary 22nd 2013,24,15.jpg
15,Winter-Spring 2017,3,Ginger,Winter 2024,April 14th 2014,21,15.jpg
15,Winter-Spring 2017,4,Morsecode762,Summer 2024,July-December 2016,15,15.jpg
15,Winter-Spring 2017,5,Yoyo,Spring 2018,Fall 2015,8,15.jpg
15,Winter-Spring 2017,6,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,15.jpg
15,Winter-Spring 2017,7,Heartstrings,Winter 2020,July-December 2016,9,15.jpg
15,Winter-Spring 2017,8,Juggleguy,Spring 2018,November 15th 2010,17,15.jpg
15,Winter-Spring 2017,9,Anther,Summer 2024,July 25th 2011,20,15.jpg
15,Winter-Spring 2017,10,Sawyer (TM),Summer 2017,January 13th 2015,8,15.jpg
16,Summer 2017,1,Duck,Winter-Spring 2019,November 15th 2010,21,16.jpg
16,Summer 2017,2,KJH,Summer 2024,Februrary 22nd 2013,24,16.jpg
16,Summer 2017,3,Ginger,Winter 2024,April 14th 2014,21,16.jpg
16,Summer 2017,4,Morsecode762,Summer 2024,July-December 2016,15,16.jpg
16,Summer 2017,5,Anther,Summer 2024,July 25th 2011,20,16.jpg
16,Summer 2017,6,Heartstrings,Winter 2020,July-December 2016,9,16.jpg
16,Summer 2017,7,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,16.jpg
16,Summer 2017,8,Yoyo,Spring 2018,Fall 2015,8,16.jpg
16,Summer 2017,9,Magicubed,Spring 2018,Summer 2017,3,16.jpg
16,Summer 2017,10,Sawyer (TM),Summer 2017,January 13th 2015,8,16.jpg
16,Summer 2017,11,Techboy,Summer-Fall 2019,Summer 2017,4,16.jpg
16,Summer 2017,12,999,Summer 2018,Summer 2017,4,16.jpg
16,Summer 2017,13,Russell,Winter-Spring 2019,Fall 2015,6,16.jpg
16,Summer 2017,14,Sheep,Summer 2023,Summer 2017,5,16.jpg
16,Summer 2017,15,Papyrus,Summer 2017,Summer 2017,1,16.jpg
16,Summer 2017,16,Lain,Summer 2017,November 15th 2010,9,16.jpg
17,Winter 2018,1,Duck,Winter-Spring 2019,November 15th 2010,21,
17,Winter 2018,2,KJH,Summer 2024,Februrary 22nd 2013,24,
17,Winter 2018,3,Ginger,Winter 2024,April 14th 2014,21,
17,Winter 2018,4,Yoyo,Spring 2018,Fall 2015,8,
17,Winter 2018,5,Morsecode762,Summer 2024,July-December 2016,15,
17,Winter 2018,6,Heartstrings,Winter 2020,July-December 2016,9,
17,Winter 2018,7,Russell,Winter-Spring 2019,Fall 2015,6,
17,Winter 2018,8,Techboy,Summer-Fall 2019,Summer 2017,4,
17,Winter 2018,9,Juggleguy,Spring 2018,November 15th 2010,17,
17,Winter 2018,10,Magicubed,Spring 2018,Summer 2017,3,
17,Winter 2018,11,i4n,Winter 2018,Winter 2018,1,
17,Winter 2018,12,JCubez,Summer 2023,Winter 2018,8,
17,Winter 2018,IM,999,Summer 2018,Summer 2017,4,
17,Winter 2018,IM,Anther,Summer 2024,July 25th 2011,20,
17,Winter 2018,IM,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,
18,Spring 2018,1,Duck,Winter-Spring 2019,November 15th 2010,21,18.jpg
18,Spring 2018,2,KJH,Summer 2024,Februrary 22nd 2013,24,18.jpg
18,Spring 2018,3,Ginger,Winter 2024,April 14th 2014,21,18.jpg
18,Spring 2018,4,Morsecode762,Summer 2024,July-December 2016,15,18.jpg
18,Spring 2018,5,Heartstrings,Winter 2020,July-December 2016,9,18.jpg
18,Spring 2018,6,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,18.jpg
18,Spring 2018,7,Russell,Winter-Spring 2019,Fall 2015,6,18.jpg
18,Spring 2018,8,Yoyo,Spring 2018,Fall 2015,8,18.jpg
18,Spring 2018,9,Juggleguy,Spring 2018,November 15th 2010,17,18.jpg
18,Spring 2018,10,Techboy,Summer-Fall 2019,Summer 2017,4,18.jpg
18,Spring 2018,11,Jagerbombsoldier (Liam_Butler),Spring 2018,July-December 2016,2,18.jpg
18,Spring 2018,12,JCubez,Summer 2023,Winter 2018,8,18.jpg
18,Spring 2018,IM,999,Summer 2018,Summer 2017,4,18.jpg
18,Spring 2018,IM,Anther,Summer 2024,July 25th 2011,20,18.jpg
18,Spring 2018,IM,Magicubed,Spring 2018,Summer 2017,3,18.jpg
19,Summer 2018,1,Duck,Winter-Spring 2019,November 15th 2010,21,19.jpg
19,Summer 2018,2,KJH,Summer 2024,Februrary 22nd 2013,24,19.jpg
19,Summer 2018,3,Ginger,Winter 2024,April 14th 2014,21,19.jpg
19,Summer 2018,4,Morsecode762,Summer 2024,July-December 2016,15,19.jpg
19,Summer 2018,5,ckyulmiqnudaetr (Quang / Tentpoles),Summer 2024,Fall 2015,16,19.jpg
19,Summer 2018,6,Heartstrings,Winter 2020,July-December 2016,9,19.jpg
19,Summer 2018,7,MB-Smash,Summer-Fall 2019,Fall 2015,5,19.jpg
19,Summer 2018,8,Baka4moe,Winter 2020,Summer 2018,5,19.jpg
19,Summer 2018,9,Kuyashi,Summer 2024,Summer 2018,11,19.jpg
19,Summer 2018,10,Ossify,Summer 2024,Summer 2018,9,19.jpg
19,Summer 2018,IM,999,Summer 2018,Summer 2017,4,19.jpg
20,Fall 2018,1,Duck,Winter-Spring 2019,November 15th 2010,21,20.jpg
20,Fall 2018,2,KJH,Summer 2024,Februrary 22nd 2013,24,20.jpg
20,Fall 2018,3,Ginger,Winter 2024,April 14th 2014,21,20.jpg
20,Fall 2018,4,Morsecode762,Summer 2024,July-December 2016,15,20.jpg
20,Fall 2018,5,Ossify,Summer 2024,Summer 2018,9,20.jpg
20,Fall 2018,6,Baka4moe,Winter 2020,Summer 2018,5,20.jpg
20,Fall 2018,7,Russell,Winter-Spring 2019,Fall 2015,6,20.jpg
20,Fall 2018,8,Heartstrings,Winter 2020,July-December 2016,9,20.jpg
20,Fall 2018,9,Kuyashi,Summer 2024,Summer 2018,11,20.jpg
20,Fall 2018,IM,Anther,Summer 2024,July 25th 2011,20,20.jpg
21,Winter-Spring 2019,0,Duck,Winter-Spring 2019,November 15th 2010,21,21.jpg
21,Winter-Spring 2019,1,KJH,Summer 2024,Februrary 22nd 2013,24,21.jpg
21,Winter-Spring 2019,2,Ginger,Winter 2024,April 14th 2014,21,21.jpg
21,Winter-Spring 2019,3,Morsecode762,Summer 2024,July-December 2016,15,21.jpg
